ID в ИС ГТИБД,Название,Название (англ.),Тип,Адрес (ручной),Телефоны,Сайт,Электронная почта,Доступно для людей с ограниченными возможностями,ОГРН,ИНН,Координаты
4323,"Детский драматический театр ""У Нарвских ворот""","Children's Drama Theatre ""At Narva Gates""",гос. городское учреждение,"198095, Санкт-Петербург, ул. Зои Космодемьянской, д. 3",+7 (812) 786-51-48,"www.teatrlutz.ru, https://vk.com/public61223761",teatr_lutz@mail.ru,0,1037811007827.0,7805026935.0,"59.893177,30.272021"
4325,"Детский Музыкальный Театр ""Время"" имени Виктора Резникова","Viktor Reznikov Children's Theatre ""Vremia""",некоммерческая организация,"198303, Санкт-Петербург, пр. Стачек, 105, корп. 1",+7 (812) 758-36-01,https://vk.com/reznikov_dmt,theatre@radiorecord.ru,0,1037811021830.0,7805033690.0,"59.855109,30.240571"
4326,"Детский музыкальный театр ""Зазеркалье""","""Zazerkalye"" State Musical Theatre for Children",гос. городское учреждение,"191002, Санкт-Петербург, ул. Рубинштейна, 13",+7(812)7124393; +7 (812) 712-50-00,www.zazerkal.spb.ru,"zazerkalbilet@mail.ru, zazerkal-spb@mail.ru",0,1037843024603.0,7813046484.0,"59.929335,30.34394"
4327,"Драматический театр ""Комедианты""","""Komedianty"" Drama Theatre",Государственное областное учреждение,"191040, Санкт-Петербург, Лиговский пр., д.44","+7(812)7648114, +7(812)5724790",www.komedianty.com,komedianty.spb@gmail.com,0,1037843001536.0,7815000301.0,"59.925881,30.359859"
4328,"Драматический театр ""На Васильевском""",Theatre on Vasilievsky Island,Государственное областное учреждение,"199178, Санкт-Петербург, Средний пр., В.О., д.48","+7(812)323-02-84, +7 (812) 321-59-96",www.teatrvo.ru,teatr_satiry@mail.ru,0,1037800044490.0,7801032078.0,"59.9422,30.243877"
4329,"Драматический театр ""На Литейном""",State Dramatic Theatre on Liteyny,Государственное областное учреждение,"191104, Санкт-Петербург, Литейный пр., 51","+7(812)2735335, +7(812)273-78-94",www.naliteinom.ru,teater.naliteinom@yandex.ru,0,1027809231691.0,7825337939.0,"59.937116,30.346923"
4330,Интерьерный театр,Interior Theatre,негосударственное учреждение,"191025, Санкт-Петербург, Невский пр., д.104",+7(812)2731454,www.spb-ith.ru,info@spb-ith.ru,0,1117847673811.0,7808027415.0,"59.931765,30.356768"
4331,"Камерный музыкальный театр ""Санктъ-Петербургъ Опера""","""St. Petersburg Opera"" Chamber Music Theatre",гос. городское бюджетное учреждение,"190000, Санкт-Петербург, Галерная ул, д.33","+7 (812) 312-39-82, +7 (812) 314-22-83",www.spbopera.ru,spboperainfo@mail.ru,1,1027810322605.0,7812049482.0,"59.932824,30.292656"
4332,Камерный театр Малыщицкого,Malyshchitsky Chamber Theatre,негосударственное учреждение,"191014, Санкт-Петербург, ул. Восстания, д.41",+7(812)5798836;,www.vmtheatre.ru,mail@vmtheatre.ru,0,1037843130610.0,7803051460.0,"59.939879,30.360856"
4333,"Клоун-мим-театр ""Мимигранты""","""Mimigrants"" Clown-Mime Theatre",гос. городское учреждение,"199106, Санкт-Петербург, Большой пр. В.О., 83,  (Дворец культуры им. С.М. Кирова)","+7(812)678-96-01, +7(931)390-20-05",www.mimigrants.ru,"mimigrants@yandex.ru, pr-mim@mail.ru",0,1027810349710.0,7805007756.0,"59.913532,30.282118"
4335,"Музыкальный театр ""Карамболь""",Musical theatre 'Karambol',гос. городское  учреждение,"190103, Санкт-Петербург, Рижский пр., д.3, лит. Л",+7 (812) 575-21-42;+7 (812) 575-12-44,www.teatrkarambol.ru,teatr-karambol@yandex.ru,0,1027810302563.0,7826673877.0,"59.914024,30.294803"
4336,"Новый театр ""АЛЕКО""","New Theatre ""ALEKO""",негосударственное учреждение,"196158, Санкт-Петербург, пр. Юрия Гагарина, д.42",+7 (812) 727-60-00,www.teatr-aleko.ru,"9394243@gmail.com - худ рук., sekretova@teatr-aleko.ru - главный администратор",0,1097800001970.0,784101001.0,"59.840646,30.339862"
4337,Санкт-Петербургский академический театр имени Ленсовета,Saint-Petersburg Lensoviet Theatre,гос. городское учреждение,"191025, Санкт-Петербург, Владимирский пр., 12","+7(812)713-21-91 - касса, +7(812) 712-48-16 - билетный стол",www.lensov-theatre.spb.ru,lensov@lensov-theatre.spb.ru,0,1037843030202.0,7808045220.0,"59.930074,30.348414"
4338,Санкт-Петербургский Большой театр кукол,Saint-Petersburg Big Theatre of Puppets,гос. городское учреждение,"191014, Санкт-Петербург, ул. Некрасова, д.10",+7(812)273-66-72; +7(812)272-82-15,www.puppets.ru,btkpuppets@gmail.com,0,1037843042830.0,7803007447.0,"59.939059,30.352052"
4339,Санкт-Петербургский государственный академический Театр балета имени Леонида Якобсона,Leonid Jacobson State Academic Ballet Theatre,гос. городское учреждение,"191014, Санкт-Петербург, ул. Маяковского, д.15",+7(812)273-19-97; 7 (812) 579-16-72,www.yacobsonballet.ru,office@yacobsonballet.ru,0,1037843130280.0,7803059741.0,"59.937774,30.356086"
4340,Санкт-Петербургский государственный академический театр оперы и балета им. М.П. Мусоргского - Михайловский театр,Mikhailovsky Opera and Ballet Theatre,гос. городское учреждение,"191011, Санкт-Петербург, Пл. Искусств, д.1",+7(812)5954305; +7(812)5954319,www.mikhailovsky.ru,office@mikhailovsky.ru,0,1027809224607.0,7830001525.0,"59.937756,30.329567"
4341,"Санкт-Петербургский государственный детский драматический театр ""На Неве""","Children's Drama Theatre ""On the Neva""",гос. городское учреждение,"190005, Санкт-Петербург, Измайловский пр., д.8, лит.А. (вход с Советского переулка)","+7(812) 575-04-21, +7 (812) 251-20-06","https://tnaneve.ru/, https://vk.com/tnaneve",naneve@mail.ru,0,1027810234506.0,7825330764.0,"59.914047,30.309176"
4342,Санкт-Петербургское государственное бюджетное учреждение культуры «Кукольный театр сказки»,Puppet Fairy Tale Theatre,гос. городское бюджетное учреждение культуры,"196084, Санкт-Петербург, Московский пр., д.121",+7(812)388-00-31; +7(812) 387-54-75,www.teatrskazki.spb.ru,teatrskazki.1@yandex.ru,1,1037821032182.0,7810204157.0,"59.887431,30.318428"
4343,"Санкт-Петербургский государственный музыкально-драматический театр ""Буфф""",Buff Theatre,гос. городское учреждение,"195112, Санкт-Петербург, Заневский пр., д.26","8 (812) 573-95-95, 8 (921) 597-58-99",http://buffspb.ru/,buff@theatre-buff.spb.ru,0,1037825029857.0,7811019566.0,"59.931111,30.418572"
4344,"Санкт-Петербургский государственный театр ""Мастерская""","St. Petersburg Theatre ""Workshop""",гос. городское учреждение,"193079, Санкт-Петербург, Народная ул., д.1","+7(812) 922 21 42, (812) 446 67 67",www.vteatrekozlov.net,info@vteatrekozlov.net,0,1107800005389.0,7801269817.0,"59.877859,30.459841"
4345,Санкт-Петербургский государственный театр марионеток им. Е.С. Деммени,Demmeni Marionette Theatre,гос. городское учреждение,"191011, Санкт-Петербург, Невский пр., д.52",+7(812)5711900; +7(812)5712156; +7 (812) 310-58-79,www.demmeni.ru,demmeni_info@mail.ru,0,1037843044491.0,7825337368.0,"59.934344,30.335927"
4346,Санкт-Петербургский государственный театр музыкальной комедии,Musical Comedy Theatre,гос. городское учреждение,"191186, Санкт-Петербург, Итальянская ул, 13","(812) 570-58-90, 570-53-16",https://muzcomedy.ru/,ticket@muzcomedy.spb.ru,0,1037843033436.0,7825334649.0,"59.935913,30.333017"
4347,Санкт-Петербургский детский ледовый театр,Saint Petersburg State Ice Theatre,гос. городское учреждение,"192007, Санкт-Петербург, Лиговский пр., 148","+7 812 600 23 36,  +7 (812)335-75-75",ice-theater.ru,"info@ice-theater.ru, INFO@ALLOSHOW.RU",0,1027808005477.0,7816088387.0,"59.913063,30.349887"
4348,Санкт-Петербургский Молодежный театр на Фонтанке,Youth Theatre on the Fontanka,гос. городское учреждение,"190005, Санкт-Петербург, наб. р. фонтанки, 114",+7(812)3166564; +7(812)5761985,www.mtfontanka.spb.ru,office@mtfontanka.spb.ru,0,1037851018688.0,7809010012.0,"59.918963,30.312266"
4349,"Санкт-Петербургский Молодежный театр на Фонтанке. Филиал ""Театр Дождей""","Youth Theatre ""Theatre of Rains"" (""Teatr Dozhdey"")",гос. городское учреждение,"190005, Санкт-Петербург, наб. реки Фонтанки, д.130",+7(812)2514190; +7(911) 997-57-10,www.rains.spb.ru,administrator@rains.spb.ru,0,5067847375140.0,7809063222.0,"59.917583,30.304531"
4351,"Санкт-Петербургский театр ""За Черной речкой""","Theatre ""Za Chornoy Rechkoi""",Автономное некоммерческое учреждение,"197348, Санкт-Петербург, Богатырский пр., д.4",+7(812)6433904,www.teatrzcr.ru,teatr-zcr@mail.ru,0,1037832053984.0,7814150760.0,"59.99926,30.29112"
4352,"Санкт-Петербургский театр ""Русская антреприза"" имени Андрея Миронова","Andrey Mironov Theatre ""Russian Enterprise""",негосударственное учреждение,"197022, Санкт-Петербург, Большой пр. П.С., д.75/35",+7(812)3461679,www.mironov-theatre.ru,mail@mironov-theatre.ru,0,1027809210285.0,7808039530.0,"59.937774,30.235433"
4353,"Санкт-Петербургский театр ""Особняк""","Theatre ""Mansion"" (""Osobnyak"")",негосударственное учреждение,"197022, Санкт-Петербург, Каменноостровский пр., д.55",+7 (911) 274-90-85,osobnjak.ru https://vk.com/osobnjak,teatr@osobnjak.ru,0,1117847275622.0,7813021391.0,"59.971564,30.306849"
4354,"Санкт-Петербургский театр ""Русский балет""","Theatre ""Russian Ballet""",негосударственное учреждение,"191028, Санкт-Петербург, Литейный пр., 11 (арка, 3ий двор)",+7(812)5790226; +7(812)9663776;,сайты не работают https://vk.com/rusbalet,balet-spb@mail.ru,0,1027809181553.0,7825101933.0,"59.94335,30.343437"
4355,"Санкт-Петербургский театр ""Суббота""","Theatre ""Saturday""",гос. городское учреждение,"191119, Санкт-Петербург, ул. Звенигородская, д.30",+7(812)7648202,www.teatr-subbota.ru,admin@teatr-subbota.ru,0,1037843043336.0,7825332987.0,"59.917506,30.342638"
4356,Санкт-Петербургский театр балета Константина Тачкина,Konstantin Tachkin St. Petersburg Ballet Theatre,негосударственное учреждение,"191028, Санкт-Петербург, Литейный пр., д.20",+7(921) 643 4135,www.spbt.ru,headoffice@spbt.ru,0,1027809191277.0,7825052161.0,"59.943575,30.349043"
4357,"Санкт-Петербургский театр пластики рук ""Hand Made""",St. Petersburg HandMade Theatre,Автономное некоммерческое  учреждение,Нет своей сцены,+7(905)2061338;,www.handmadetheatre.ru,hmtheatre@gmail.com,0,1127746123658.0,7705978480.0,"59.938536,30.391084"
4358,Санкт-Петербургский Театр Поколений им. З.Я. Корогодского,St.Petersburg Theatre of Generations,негосударственное учреждение,"197136, Санкт-Петербург, Лахтинская ул., д.25, лит. А",Главный администратор +7 911 245-85-90  Арина Малашенко,https://teatr-pokoleniy.com/ https://vk.com/club77690,teatr.pokoleniy@gmail.com,0,1057810068678.0,7811313656.0,"59.964169,30.296824"
4359,Санкт-Петербургский театральный центр на Коломенской,St. Petersburg Theatre Centre on Kolomenskaya street,негосударственное учреждение,"191119, Санкт-Петербург, Коломенская ул., д.43",+7(812)380-83-72; +7 (812) 380-83-74,www.privatetheatre.ru,tz-teater@mail.ru,0,,,"59.920799,30.349591"
4360,Такой театр,"Takoy Theatre (""A theatre like that"")",Автономная некоммерческая организация,"196084, Санкт-Петербург, , Московский проспект 107 к.5, 4 этаж. ""Площадка Скороход""","+7 952 229 82 00, +7 911 900 12 16",http://takoy-teatr.ru https://vk.com/takoyteatr,takojteatr@yandex.ru,0,1027810275261.0,7826125574.0,"60.009462,30.246267"
4361,"Театр ""Кукольный формат""",KUKFO Theatre,Негосударственное учреждение,"191040, Санкт-Петербург, ул. Пушкинская, д.19",+7 911 090 50 60,www.kukfo.ru https://vk.com/club647800,kukfo@inbox.ru kukfo@list.ru,0,1127800003154.0,7840290354.0,"59.927116,30.355565"
4362,"Театр ""Лицедеи""","Theatre ""Litsedei""",негосударственное учреждение,"197022, Санкт-Петербург, ул. Льва Толстого, д.9,  лит. А (ТРК ""Толстой сквер"")","+7 (921) 967 28 42,  +7 (812) 779-10-35",www.licedei.com,licedei-open@mail.ru,0,1089847263472.0,7813418936.0,"59.965021,30.315733"
4363,"Театр ""Плоды просвещения"" (ООО ""Масштаб"")","Theatre ""Fruits of Enlightenment""",негосударственное учреждение,"194358, Санкт-Петербург, пр. Энгельса, 154, лит. А (ТРК «Гранд Каньон», территория развития «Дивный город», 3-й этаж)",Справки по репертуару и наличию билетов: 8 (812) 677-57-07,www.teatr-pp.ru https://vk.com/club33168237,teatrpp@gmail.com,0,1117847163280.0,7802749407.0,"60.058987,30.334984"
4365,"Театр ""Рок-опера плюс""","Theatre ""Rock-Opera plus""",негосударственное учреждение,"Выступает на сцене Санкт-Петербургского театра Мюзик-Холл, ДК Ленсовета и т. д.",+7 (911) 242-19-55,rock-opera.ru https://vk.com/rockopera,info@rock-opera.ru,0,1027810228071.0,7812014218.0,"59.916938,30.286799"
4366,"Театр ""Ювента"" Российского государственного педагогического университета им. А. И. Герцена","""Uventa"" the Theatre of the Herzen State Pedagogical University of Russia",ведомственное учреждение,"191186, Санкт-Петербург, пр. Юрия Гагарина, 42, ст.м.""Звездная"" (на сцене Театра ""Алеко"")","+7 (812) 987-33-43, +7 (911) 261-37-24",http://teatr-uventa.spb.ru/,teatr-uventa@yandex.ru,0,1127800004199.0,7802290466.0,"59.934813,30.321447"
4367,Театр Детского балета,Children's Ballet Theatre,гос. районное учреждение,"198152, Санкт-Петербург, ул. Новостроек, 25",+7(812)7846203;,http://www.children-ballet.ru/,children-ballet@yandex.ru,0,1027802728227.0,7805008950.0,"59.873388,30.270045"
4368,Театр драматических импровизаций,Drama Improvisation Theatre,негосударственное учреждение,"198188, Санкт-Петербург, проспект Стачек, д. 72 (Дворец культуры им. И.И. Газа, Малая сцена, 3-й этаж)",+7(921)0972817,www.drim.spb.ru,info@drim.spb.ru,0,1127847019849.0,7808018139.0,"59.878297,30.262832"
4370,"Театр кукол ""Бродячая собачка""","Puppet Theatre ""Brodyachaya Sobachka"" (""Wandering Doggy"")",гос. районное учреждение,"Санкт-Петербург, ст. м. «Автово», «Кировский завод», пр. Стачек, 59, вход с ул.Зенитчиков",+7(812)7834327,www.puppettheatre.spb.ru,sobachkadm@mail.ru,0,1027802735058.0,7805039035.0,"59.87402,30.258026"
4371,Театр эстрады имени Аркадия Райкина,Arkadiy Raikin Estrade Theatre,гос. городское учреждение,"191186, Санкт-Петербург, Большая Конюшенная ул., д.27",+7(812)3146661,www.estrada.spb.ru,info@estrada.spb.ru,0,1097847186656.0,7841409683.0,"59.936828,30.322246"
4372,Театр юных зрителей им. А. А. Брянцева,A. A. Bryantsev Youth Theatre,гос. городское учреждение,"191119, Санкт-Петербург, Пионерская пл, д.1",+7(812)7124102; +7(812)7641124;,www.tyuz-spb.ru,spb-tuz@mail.ru,0,1027810260543.0,7809007926.0,"59.919797,30.334912"
4373,"Театр-Концерт ""Вампука"" (АНО)","Theatre-Concert ""Vampuka""",негосударственное учреждение,"191040, Санкт-Петербург, Пушкинская ул., д. 10, лит. Б",+7(812)980-80-80,www.vampuka.com,teatrvampuka@yandex.ru,0,1127800009512.0,7840290523.0,"59.929227,30.357792"
4374,"Театр-студия ""Небольшой драматический театр""","Theatre-Studio ""Little Drama Theatre""",гос. городское учреждение,"Санкт-Петербург, проспект КИМа, д.6 
Эко-лофт «Моrе Place»
метро «Приморская»",(812) 943-51-13,www.nebdt.ru,nebdt@mail.ru,0,1027810256319.0,7825424691.0,"59.926291,30.299869"
4375,"Театральное товарищество ""Комик-Трест""","Theatrical Community ""Comic-Trust""",негосударственное учреждение,"199004, Санкт-Петербург, В.О., 8-я линия, д.31, лит. А",+7(812)3281619; Бронирование билетов / администратор: +7 (911) 902-07-09,www.comic-trust.com https://vk.com/comictrust,theatreclown@comic-trust.com,0,1037832019752.0,7814083760.0,"59.9422,30.243877"
4376,"Учебный театр ""На Моховой""","Theatre ""On Mokhovaya street""",Государственное федеральное бюджетное учреждение,"191028, Санкт-Петербург, Моховая ул., 35",Касса: (812) 273-04-32 (вт-вс с 15.00 до 19.00) Администраторы: (812) 579-36-11,http://учебный-театр.рф/,uteatr@rgisi.ru,0,1090640373255.0,1391018790.0,"59.940501,30.34483"
4379,Эрмитажный театр,Hermitage Theatre,Государственное федеральное учреждение,"191186, Санкт-Петербург, дворцовая наб., д.34","(812) 495-71-47, (812) 495-71-48 (Вторник – суббота с 13.00 до 17.00), +7 (812) 710-90-30

+7(911) 998-40-73 (понедельник, среда, воскресенье, с 12.00 14.00)","http://www.hermitagemuseum.org/wps/portal/hermitage/what-s-on/articles/music_theatre/?lng=ru, https://vk.com/hermitagetheatre",theatre@hermitage.ru,0,1167847403569.0,7807140577.0,"59.941682,30.317719"
12748,Выборгский Дворец Культуры,Vyborgsky Palace of Culture,ООО,"194044, Санкт-Петербург, ул. Комиссара Смирнова, д.15, лит. А","8 (812)542-38-39, 8 (812) 542-14-60",https://dkvdk.ru/,vdk2003@mail.ru,0,1027801536180.0,7802050312.0,"59.96303,30.348324"
15999,Новая сцена Александринского театра,The New Stage of Alexandrinsky Theatre,Гос. федеральное бюджетное учреждение культуры,"191023, Санкт-Петербург, наб. реки Фонтанки, д. 49 А",+7 (812) 401-53-41,http://www.alexandrinsky.ru/,new@alexandrinsky.ru,1,1037843017761.0,7808006670.0,"59.930247,30.33774"
16000,Каменноостровский театр (Вторая сцена БДТ),Kamennoostrovsky Theatre (Second Stage of Bolshoy Drama Theatre ),Гос. федеральное учреждение,"Санкт-Петербург, площадь Старого Театра, д.13","244-59-04, + 7 (921) 31-400-31",bdt.spb.ru,bdt@bdt.spb.ru,0,1037843003747.0,7808004288.0,"59.976771,30.275051"
16001,Мариинский-2,Mariinsky-2,федеральное государственное бюджетное учреждение культуры,"190121, Санкт-Петербург, ул. Декабристов, д.34",+7 812 326 41 41,https://www.mariinsky.ru/,post@mariinsky.ru,0,1027810251006.0,7812024600.0,"59.92571,30.294282"
16002,Концертный Зал Мариинского Театра,Concert Hall of the Mariinsky Theatre,федеральное государственное бюджетное учреждение культуры,"190121, Санкт-Петербург, ул. Писарева, д. 20 (вход с ул. Декабристов, 37)",+7 812 326 41 41,https://www.mariinsky.ru/,post@mariinsky.ru,0,1027810251006.0,7812024600.0,"59.92525,30.287261"
18689,"СПб ГБУК ""Камерный драматический театр ""Левендаль""","Theatre ""Levendal""",Государственное бюджетное учреждение культуры,"198302, Санкт-Петербург, ул. Маршала Казакова, д. 1, корп. 1",зарезервировать билеты +7 969-202-88-18,https://www.levendal.ru/ https://vk.com/teatr_levendal,"levendal89045123950@gmail.com , guzbrf@mail.ru",0,1187847161424.0,7805728564.0,"59.860709,30.24946"
18942,"Инженерный театр ""АХЕ"" (АНО)","Engineering theatre ""AXE""",негосударственное учреждение,"195248, Санкт-Петербург, ш. Революции, д. 84 
(Театральная площадка «Порох»)",+7(921)947 7576,http://www.akhe.ru,axegroup@mail.ru,0,1107800003816.0,7840019137.0,"59.961259,30.452865"
18944,"Лаборатория театрально-визуального искусства ""ART-измерение""","Theatre and Visual Art Laboratory ""ART-space""",негосударственное учреждение,"191186, Санкт-Петербург, Казанская ул., д. 7",+7 911-185-70-20,https://vk.com/artizmerenie,artizmerenie@gmail.com,0,1157847278346.0,7841027243.0,"59.94362,30.379724"
18945,"Молодёжный включённый театр ""Питер Шед"" (АНО)","Youth inclusive teatre ""Piter Shed""",негосударственное учреждение,"194044 , Санкт-Петербург, Большой Сампсониевский пр., д. 37 (Дом молодежи «Форпост»)",+7 952-393-97-89,"https://www.pitershed.ru/ , https://vk.com/pitershed",pitershed@mail.ru,0,1077800005392.0,7801268034.0,"59.967503,30.342774"
18946,"Музыкальный Театр Детей Марины Ланда ""Радуга"" (АНО)","Marina Landa Children's Musical Theatre ""Raduga""",негосударственное учреждение,"191014, Санкт-Петербург, ул. Маяковского, д. 19/15",+7 921-424-64-65,http://teatrlanda.ru,iinfo@teatrlanda.ru,0,1097800006886.0,7841016837.0,"59.938568,30.355527"
18947,Народный театр юного зрителя,National Theatre of Young Spectators,негосударственное учреждение,"194044, Санкт-Петербург, ул. Комиссара Смирнова, д. 15, лит. А (ДК «Выборгский»)",+7 (812) 542-31-51,https://vk.com/club271500,vdk2003@mail.ru,0,1027801536180.0,7802050312.0,"59.96303,30.348324"
18948,"Открытый общественный театр ""Родом из блокады""","Open public theare ""Originally from blockade""",негосударственное учреждение,"195009 , Санкт-Петербург, пл. Ленина д. 1 (Концертный зал у Финляндского вокзала)",8 (812) 542-66-11,https://vk.com/club14911445,-,0,1037858013379.0,7805130301.0,"59.953294,30.357385"
18949,"""Петербург-концерт"". ""Наш театр""","""Our Theatre""",государственное городское бюджетное учреждение культуры,"191023 , Санкт-Петербург, наб. реки Фонтанки, д. 41","+7 (812) 710-40-91, 8-921-300-36-20",http://www.teatr-nashteatr.ru,teatr-nashteatr@mail.ru,0,1027809210615.0,7825332472.0,"59.930674,30.339199"
18950,"Православный драматический театр ""Странник""","Orthodox Drama Theatre ""Wanderer""",некоммерческое учреждение,"196084, Санкт-Петербург, Цветочная ул., д. 16, лит. К",8 (812) 387-53-73,http://православныйтеатрстранник.рф/,"strannik.teatr@yandex.ru, uvarov.strannik@yandex.ru",0,,,"59.887997,30.330336"
18966,Санкт-Петербургский городской театр (АНО),Saint-Petersburg City Theatre,негосударственное учреждение,"191014, Санкт-Петербург, Литейный пр., д. 46",8 (812) 922-34-42,https://goteatr.ru/,info@goteatr.ru,0,1167800054597.0,7842117041.0,"59.937589,30.34862"
18969,"Русский театр ""Морошка"" (АНО)","Russian theatre ""Moroshka""",государственное городское учреждение,"191028, Санкт-Петербург, ул.  Фурштатская, д.15",8 (812) 906-35-08,"http://moroshka-spb.ru, https://vk.com/club200490249","infomoroshka@mail.ru, directormoroshka@mail.ru",0,1097800005610.0,7801269366.0,"59.94502,30.354447"
18971,"Санкт-Петербургский драматический театр ""Алые паруса""","St. Petersburg Theatre of Drama ""Scarlet Sails""",коммерческое учреждение,"197046, Санкт-Петербург, Малая Посадская ул., д. 23",+7 911-261-74-95 +7(812)5343041,http://teatr-alye-parusa.narod.ru,alye.parusa@mail.ru,0,1157847436889.0,7838047063.0,"59.958295,30.330995"
18975,Санкт-Петербургский драматический театр им. графини С. В. Паниной (СПб ДК Железнодорожников),Countess S.V. Panina Drama Theatre,государственное городское учреждение,"192007, Санкт-Петербург, Тамбовская ул., д. 63",+7 906-225-27-57,http://teatrpaninoy.ru/,paninateatr@yandex.ru,0,,,"59.909317,30.3515"
18978,"Драматический театр ""Остров""","""Ostrov"" Drama Theatre",негосударственное учреждение,"197101, Санкт-Петербург, Каменноостровский пр., д. 26/28","8 (812) 346-38-10, 8 (812) 346-43-43",http://www.ostrov-teatr.ru,nfo@ostrov-teatr.ru,0,1027806878550.0,7813071787.0,"59.961984,30.314753"
18981,"Санкт-Петербургский музыкально-драматический театр ""Синяя птица"" (АНО)","Musical dramatic theatre ""Blue bird""",негосударственное учреждение,"Санкт-Петербург, 18-я линия В.О., дом 53, литер Б , 4 этаж (репетиционная база)",8 (921) 332-42-77,https://mdt-bluebird.ru,mdt.bluebird@gmail.com,0,1147800001161.0,7801351652.0,"59.942017,30.259883"
18982,"Санкт-Петербургский просветительский театр ""Новое поколение""","St. Petersburg Educational Theatre ""New generation""",негосударственное учреждение,нет своей площадки,+7 921-919-01-82,https://www.kino-teatr.ru/teatr/1306/,sbdvorko@mail.ru,0,,,"59.939572,30.326717"
18984,"Санкт-Петербургский театр пантомимы ""Раздватри"" (АНО)","Pantomime theatre ""Onetwothree""",некоммерческое учреждение,нет своей площадки,-1297.0,https://123-spb.ru/,iola_123@mail.ru,0,1077800018780.0,7842013099.0,"59.940956,30.379077"
18986,"Санкт-Петербургский театр ""Под самой крышей""","Theatre ""Under the roof""",негосударственное учреждение,"196084 , Санкт-Петербург, Московский пр., д. 152 (КДЦ «Московский»)",+7 905-229-41-53 8 905 205 4780,http://kdcmoskovskiy.ru/ https://vk.com/club979303,funteatr@mail.ru,0,1037825013071.0,7811092654.0,"59.884537,30.321479"
18989,"Театр ""Lusores""","Theatre ""Lusores""",негосударственное учреждение,"нет своей площадки, спектакли часто проходят на сцене Особняк Театра https://vk.com/osobnjak",+7 (931) 005-18-40,https://vk.com/lusorestheatre,https://vk.com/carmen194,0,,,
